iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
75,11.862,ok,31.617,2240.188,0.0,39.8,0.0
76,11.766,ok,31.617,2240.188,0.0,39.8,0.0
77,11.347,ok,31.617,2240.188,0.0,39.8,0.0
78,11.544,ok,31.617,2240.188,0.0,39.8,0.0
79,11.893,ok,31.617,2240.188,0.0,39.8,0.0
80,11.678,ok,31.617,2240.188,0.0,39.8,0.0
81,11.243,ok,31.617,2240.188,0.0,39.8,0.0
82,11.530,ok,31.617,2240.188,0.0,39.8,0.0
83,11.484,ok,31.617,2240.188,0.0,39.8,0.0
84,12.094,ok,31.617,2240.188,0.0,39.8,0.0
85,12.139,ok,31.617,2240.188,0.0,39.8,0.0
86,11.692,ok,31.617,2240.188,0.0,39.8,0.0
87,11.903,ok,31.617,2240.188,0.0,39.8,0.0
88,11.943,ok,31.617,2240.188,0.0,39.8,0.0
89,11.589,ok,31.617,2240.188,0.0,39.8,0.0
90,11.628,ok,31.621,2240.188,0.0,39.8,0.0
91,11.950,ok,31.621,2240.188,0.0,39.8,0.0
92,11.763,ok,31.621,2240.188,0.0,39.8,0.0
93,12.442,ok,31.621,2240.188,0.0,39.8,0.0
94,12.052,ok,31.621,2240.188,0.0,39.8,0.0
95,12.356,ok,31.621,2240.188,0.0,39.8,0.0
96,12.506,ok,31.621,2240.188,0.0,39.8,0.0
97,12.561,ok,31.621,2240.188,0.0,39.8,0.0
98,12.012,ok,31.621,2240.188,0.0,39.8,0.0
99,12.095,ok,31.621,2240.188,0.0,39.8,0.0
100,12.228,ok,31.621,2240.188,0.0,39.8,0.0
101,11.627,ok,31.621,2240.188,0.0,39.8,0.0
102,11.739,ok,31.621,2240.188,0.0,39.8,0.0
103,12.651,ok,31.621,2240.188,0.0,39.8,0.0
104,12.043,ok,31.621,2240.188,0.0,39.8,0.0
105,11.809,ok,31.621,2240.188,0.0,39.8,0.0
106,12.229,ok,31.625,2240.188,0.0,39.8,0.0
107,12.259,ok,31.625,2240.188,0.0,39.8,0.0
108,12.421,ok,31.625,2240.188,0.0,39.8,0.0
109,12.922,ok,31.625,2240.188,0.0,39.8,0.0
110,12.805,ok,31.625,2240.188,0.0,39.8,0.0
111,12.756,ok,31.625,2240.188,0.0,39.8,0.0
112,12.011,ok,31.625,2240.188,0.0,39.8,0.0
113,11.422,ok,31.625,2240.188,0.0,39.8,0.0
114,11.787,ok,31.625,2240.188,0.0,39.8,0.0
115,11.444,ok,31.625,2240.188,0.0,39.8,0.0
116,11.503,ok,31.625,2240.188,0.0,39.8,0.0
117,12.070,ok,31.625,2240.188,0.0,39.8,0.0
118,11.870,ok,31.625,2240.188,0.0,39.8,0.0
119,12.191,ok,31.625,2240.188,0.0,39.8,0.0
120,12.415,ok,31.625,2240.188,0.0,39.8,0.0
121,12.530,ok,31.625,2240.188,0.0,39.8,0.0
122,12.176,ok,31.625,2240.188,0.0,39.8,0.0
123,12.749,ok,31.629,2240.188,10.0,39.8,0.0
124,12.698,ok,31.629,2240.188,10.0,39.8,0.0
125,12.867,ok,31.629,2240.188,10.0,39.8,0.0
126,12.288,ok,31.629,2240.188,10.0,39.8,0.0
127,12.314,ok,31.629,2240.188,10.0,39.8,0.0
128,12.099,ok,31.629,2240.188,10.0,39.8,0.0
129,12.213,ok,31.629,2240.188,10.0,39.8,0.0
130,12.934,ok,31.629,2240.188,10.0,39.8,0.0
131,12.237,ok,31.629,2240.188,10.0,39.8,0.0
132,12.043,ok,31.629,2240.188,10.0,39.8,0.0
133,11.782,ok,31.629,2240.188,10.0,39.8,0.0
134,11.808,ok,31.629,2240.188,10.0,39.8,0.0
135,11.620,ok,31.629,2240.188,10.0,39.8,0.0
136,11.774,ok,31.629,2240.188,10.0,39.8,0.0
137,11.908,ok,31.629,2240.188,10.0,39.8,0.0
138,11.876,ok,31.629,2240.188,10.0,39.8,0.0
139,11.947,ok,31.629,2240.188,0.0,39.8,0.0
140,12.151,ok,31.629,2240.188,0.0,39.8,0.0
141,12.346,ok,31.629,2240.188,0.0,39.8,0.0
142,12.373,ok,31.629,2240.188,0.0,39.8,0.0
143,12.116,ok,31.629,2240.188,0.0,39.8,0.0
144,12.021,ok,31.629,2240.188,0.0,39.8,0.0
145,11.974,ok,31.629,2240.188,0.0,39.8,0.0
146,11.587,ok,31.629,2240.188,0.0,39.8,0.0
147,11.818,ok,31.629,2240.188,0.0,39.8,0.0
148,12.018,ok,31.629,2240.188,0.0,39.8,0.0
149,11.842,ok,31.629,2240.188,0.0,39.8,0.0
150,12.437,ok,31.629,2240.188,0.0,39.8,0.0
151,12.205,ok,31.629,2240.188,0.0,39.8,0.0
152,11.845,ok,31.629,2240.188,0.0,39.8,0.0
153,11.402,ok,31.629,2240.188,0.0,39.8,0.0
154,11.726,ok,31.629,2240.188,0.0,39.8,0.0
155,11.975,ok,31.629,2240.188,0.0,39.8,0.0
156,11.387,ok,31.629,2240.188,0.0,39.8,0.0
157,11.933,ok,31.629,2240.188,0.0,39.8,0.0
158,11.913,ok,31.629,2240.188,0.0,39.8,0.0
159,12.451,ok,31.629,2240.188,0.0,39.8,0.0
160,11.630,ok,31.629,2240.188,0.0,39.8,0.0
161,12.238,ok,31.629,2240.188,0.0,39.8,0.0
162,11.643,ok,31.629,2240.188,0.0,39.8,0.0
163,11.885,ok,31.629,2240.188,0.0,39.8,0.0
164,12.518,ok,31.629,2240.188,0.0,39.8,0.0
165,12.384,ok,31.629,2240.188,0.0,39.8,0.0
166,12.075,ok,31.629,2240.188,0.0,39.8,0.0
167,12.178,ok,31.629,2240.188,0.0,39.8,0.0
168,12.126,ok,31.629,2240.188,0.0,39.8,0.0
169,12.194,ok,31.629,2240.188,0.0,39.8,0.0
170,11.958,ok,31.629,2240.188,0.0,39.8,0.0
171,11.773,ok,31.629,2240.188,0.0,39.8,0.0
172,12.344,ok,31.629,2240.188,0.0,39.8,0.0
173,12.552,ok,31.637,2240.188,5.0,39.8,0.0
174,11.787,ok,31.637,2240.188,5.0,39.8,0.0
175,11.902,ok,31.637,2240.188,5.0,39.8,0.0
176,12.172,ok,31.637,2240.188,5.0,39.8,0.0
177,11.570,ok,31.637,2240.188,5.0,39.8,0.0
178,11.998,ok,31.637,2240.188,5.0,39.8,0.0
179,12.442,ok,31.637,2240.188,5.0,39.8,0.0
180,12.409,ok,31.637,2240.188,5.0,39.8,0.0
181,12.072,ok,31.637,2240.188,5.0,39.8,0.0
182,12.235,ok,31.637,2240.188,5.0,39.8,0.0
183,12.131,ok,31.637,2240.188,5.0,39.8,0.0
184,12.251,ok,31.637,2240.188,5.0,39.8,0.0
185,12.354,ok,31.637,2240.188,5.0,39.8,0.0
186,12.058,ok,31.637,2240.188,5.0,39.8,0.0
187,11.935,ok,31.637,2240.188,5.0,39.8,0.0
188,12.037,ok,31.637,2240.188,5.0,39.8,0.0
189,12.242,ok,31.637,2240.188,0.0,39.8,0.0
190,12.086,ok,31.637,2240.188,0.0,39.8,0.0
191,12.442,ok,31.637,2240.188,0.0,39.8,0.0
192,12.080,ok,31.637,2240.188,0.0,39.8,0.0
193,12.110,ok,31.637,2240.188,0.0,39.8,0.0
194,11.938,ok,31.637,2240.188,0.0,39.8,0.0
195,12.101,ok,31.637,2240.188,0.0,39.8,0.0
196,11.594,ok,31.637,2240.188,0.0,39.8,0.0
197,12.354,ok,31.637,2240.188,0.0,39.8,0.0
198,11.916,ok,31.637,2240.188,0.0,39.8,0.0
199,11.649,ok,31.637,2240.188,0.0,39.8,0.0
200,11.676,ok,31.637,2240.188,0.0,39.8,0.0
201,11.800,ok,31.637,2240.188,0.0,39.8,0.0
202,11.645,ok,31.637,2240.188,0.0,39.8,0.0
203,11.658,ok,31.637,2240.188,0.0,39.8,0.0
204,11.794,ok,31.637,2240.188,0.0,39.8,0.0
205,11.611,ok,31.637,2240.188,0.0,39.8,0.0
206,11.993,ok,31.637,2240.188,0.0,39.8,0.0
207,11.850,ok,31.637,2240.188,0.0,39.8,0.0
208,11.718,ok,31.637,2240.188,0.0,39.8,0.0
209,11.749,ok,31.637,2240.188,0.0,39.8,0.0
210,11.267,ok,31.637,2240.188,0.0,39.8,0.0
211,11.870,ok,31.637,2240.188,0.0,39.8,0.0
212,12.613,ok,31.637,2240.188,0.0,39.8,0.0
213,11.723,ok,31.637,2240.188,0.0,39.8,0.0
214,12.030,ok,31.637,2240.188,0.0,39.8,0.0
215,11.868,ok,31.637,2240.188,0.0,39.8,0.0
216,12.025,ok,31.637,2240.188,0.0,39.8,0.0
217,11.790,ok,31.637,2240.188,0.0,39.8,0.0
218,11.657,ok,31.637,2240.188,0.0,39.8,0.0
219,12.207,ok,31.637,2240.188,0.0,39.8,0.0
220,12.364,ok,31.637,2240.188,0.0,39.8,0.0
221,12.808,ok,31.637,2240.188,0.0,39.8,0.0
222,12.059,ok,31.637,2240.188,0.0,39.8,0.0
223,11.958,ok,31.637,2240.188,5.0,39.8,0.0
224,11.629,ok,31.637,2240.188,5.0,39.8,0.0
225,11.757,ok,31.637,2240.188,5.0,39.8,0.0
226,12.537,ok,31.637,2240.188,5.0,39.8,0.0
227,12.012,ok,31.637,2240.188,5.0,39.8,0.0
228,11.970,ok,31.637,2240.188,5.0,39.8,0.0
229,12.157,ok,31.637,2240.188,5.0,39.8,0.0
230,12.144,ok,31.637,2240.188,5.0,39.8,0.0
231,12.298,ok,31.637,2240.188,5.0,39.8,0.0
232,12.085,ok,31.637,2240.188,5.0,39.8,0.0
233,12.089,ok,31.637,2240.188,5.0,39.8,0.0
234,12.210,ok,31.637,2240.188,5.0,39.8,0.0
235,12.330,ok,31.637,2240.188,5.0,39.8,0.0
236,12.012,ok,31.637,2240.188,5.0,39.8,0.0
237,12.083,ok,31.637,2240.188,5.0,39.8,0.0
238,12.141,ok,31.637,2240.188,5.0,39.8,0.0
239,11.869,ok,31.641,2240.188,5.0,39.8,0.0
240,12.122,ok,31.641,2240.188,5.0,39.8,0.0
241,11.398,ok,31.641,2240.188,5.0,39.8,0.0
242,11.782,ok,31.641,2240.188,5.0,39.8,0.0
243,11.342,ok,31.641,2240.188,5.0,39.8,0.0
244,12.207,ok,31.641,2240.188,5.0,39.8,0.0
245,11.993,ok,31.641,2240.188,5.0,39.8,0.0
246,12.139,ok,31.641,2240.188,5.0,39.8,0.0
247,11.499,ok,31.641,2240.188,5.0,39.8,0.0
248,12.267,ok,31.641,2240.188,5.0,39.8,0.0
249,11.749,ok,31.641,2240.188,5.0,39.8,0.0
250,12.019,ok,31.641,2240.188,5.0,39.8,0.0
251,12.072,ok,31.641,2240.188,5.0,39.8,0.0
252,11.706,ok,31.641,2240.188,5.0,39.8,0.0
253,12.139,ok,31.641,2240.188,5.0,39.8,0.0
254,12.422,ok,31.641,2240.188,5.0,39.8,0.0
255,12.318,ok,31.641,2240.188,5.0,39.8,0.0
256,11.991,ok,31.641,2240.188,0.0,39.8,0.0
257,12.006,ok,31.641,2240.188,0.0,39.8,0.0
258,12.695,ok,31.641,2240.188,0.0,39.8,0.0
259,11.620,ok,31.641,2240.188,0.0,39.8,0.0
260,12.064,ok,31.641,2240.188,0.0,39.8,0.0
261,12.037,ok,31.641,2240.188,0.0,39.8,0.0
262,11.849,ok,31.641,2240.188,0.0,39.8,0.0
263,12.074,ok,31.641,2240.188,0.0,39.8,0.0
264,12.104,ok,31.641,2240.188,0.0,39.8,0.0
265,12.349,ok,31.641,2240.188,0.0,39.8,0.0
266,12.747,ok,31.641,2240.188,0.0,39.8,0.0
267,12.837,ok,31.641,2240.188,0.0,39.8,0.0
268,12.894,ok,31.641,2240.188,0.0,39.8,0.0
269,12.172,ok,31.641,2240.188,0.0,39.8,0.0
270,12.902,ok,31.641,2240.188,0.0,39.8,0.0
271,12.496,ok,31.641,2240.188,0.0,39.8,0.0
272,11.790,ok,31.645,2240.188,5.0,39.8,0.0
273,12.320,ok,31.645,2240.188,5.0,39.8,0.0
274,12.895,ok,31.645,2240.188,5.0,39.8,0.0
275,12.644,ok,31.645,2240.188,5.0,39.8,0.0
276,13.032,ok,31.645,2240.188,5.0,39.8,0.0
277,13.201,ok,31.645,2240.188,5.0,39.8,0.0
278,13.204,ok,31.645,2240.188,5.0,39.8,0.0
279,13.057,ok,31.645,2240.188,5.0,39.8,0.0
280,12.270,ok,31.645,2240.188,5.0,39.8,0.0
281,12.417,ok,31.645,2240.188,5.0,39.8,0.0
282,12.166,ok,31.645,2240.188,5.0,39.8,0.0
283,12.494,ok,31.645,2240.188,5.0,39.8,0.0
284,12.210,ok,31.645,2240.188,5.0,39.8,0.0
285,11.726,ok,31.645,2240.188,5.0,39.8,0.0
286,12.448,ok,31.645,2240.188,5.0,39.8,0.0
287,12.319,ok,31.645,2240.188,5.0,39.8,0.0
288,12.334,ok,31.648,2240.188,0.0,39.8,0.0
289,12.588,ok,31.648,2240.188,0.0,39.8,0.0
290,12.747,ok,31.648,2240.188,0.0,39.8,0.0
291,13.014,ok,31.648,2240.188,0.0,39.8,0.0
292,12.271,ok,31.648,2240.188,0.0,39.8,0.0
293,12.868,ok,31.648,2240.188,0.0,39.8,0.0
294,12.619,ok,31.648,2240.188,0.0,39.8,0.0
295,12.474,ok,31.648,2240.188,0.0,39.8,0.0
296,12.423,ok,31.648,2240.188,0.0,39.8,0.0
297,12.244,ok,31.648,2240.188,0.0,39.8,0.0
298,12.940,ok,31.648,2240.188,0.0,39.8,0.0
299,13.120,ok,31.648,2240.188,0.0,39.8,0.0
300,12.707,ok,31.648,2240.188,0.0,39.8,0.0
301,13.126,ok,31.648,2240.188,0.0,39.8,0.0
302,13.034,ok,31.648,2240.188,0.0,39.8,0.0
303,13.694,ok,31.648,2240.188,0.0,39.8,0.0
304,12.166,ok,31.648,2240.188,5.0,39.8,0.0
305,12.489,ok,31.648,2240.188,5.0,39.8,0.0
306,12.772,ok,31.648,2240.188,5.0,39.8,0.0
307,13.062,ok,31.648,2240.188,5.0,39.8,0.0
308,12.963,ok,31.648,2240.188,5.0,39.8,0.0
309,12.758,ok,31.648,2240.188,5.0,39.8,0.0
310,12.768,ok,31.648,2240.188,5.0,39.8,0.0
311,12.976,ok,31.648,2240.188,5.0,39.8,0.0
312,12.388,ok,31.648,2240.188,5.0,39.8,0.0
313,12.157,ok,31.648,2240.188,5.0,39.8,0.0
314,12.568,ok,31.648,2240.188,5.0,39.8,0.0
315,12.559,ok,31.648,2240.188,5.0,39.8,0.0
316,12.349,ok,31.648,2240.188,5.0,39.8,0.0
317,12.452,ok,31.648,2240.188,5.0,39.8,0.0
318,12.456,ok,31.648,2240.188,5.0,39.8,0.0
319,12.454,ok,31.648,2240.188,5.0,39.8,0.0
320,12.444,ok,31.648,2240.188,5.0,39.8,0.0
321,12.571,ok,31.648,2240.188,5.0,39.8,0.0
322,12.388,ok,31.648,2240.188,5.0,39.8,0.0
323,11.997,ok,31.648,2240.188,5.0,39.8,0.0
324,12.331,ok,31.648,2240.188,5.0,39.8,0.0
325,12.365,ok,31.648,2240.188,5.0,39.8,0.0
326,12.913,ok,31.648,2240.188,5.0,39.8,0.0
327,13.019,ok,31.648,2240.188,5.0,39.8,0.0
328,13.007,ok,31.648,2240.188,5.0,39.8,0.0
329,12.426,ok,31.648,2240.188,5.0,39.8,0.0
330,13.028,ok,31.648,2240.188,5.0,39.8,0.0
331,13.215,ok,31.648,2240.188,5.0,39.8,0.0
332,12.802,ok,31.648,2240.188,5.0,39.8,0.0
333,12.583,ok,31.648,2240.188,5.0,39.8,0.0
334,12.273,ok,31.648,2240.188,5.0,39.8,0.0
335,12.555,ok,31.648,2240.188,5.0,39.8,0.0
336,12.115,ok,31.648,2240.188,0.0,39.8,0.0
337,12.595,ok,31.648,2240.188,0.0,39.8,0.0
338,12.433,ok,31.648,2240.188,0.0,39.8,0.0
339,12.437,ok,31.648,2240.188,0.0,39.8,0.0
340,11.945,ok,31.648,2240.188,0.0,39.8,0.0
341,12.273,ok,31.648,2240.188,0.0,39.8,0.0
342,12.987,ok,31.648,2240.188,0.0,39.8,0.0
343,12.354,ok,31.648,2240.188,0.0,39.8,0.0
344,13.846,ok,31.648,2240.188,0.0,39.8,0.0
345,13.210,ok,31.648,2240.188,0.0,39.8,0.0
346,12.819,ok,31.648,2240.188,0.0,39.8,0.0
347,12.936,ok,31.648,2240.188,0.0,39.8,0.0
348,12.771,ok,31.648,2240.188,0.0,39.8,0.0
349,12.397,ok,31.648,2240.188,0.0,39.8,0.0
350,12.799,ok,31.648,2240.188,0.0,39.8,0.0
351,12.700,ok,31.648,2240.188,0.0,39.8,0.0
352,13.310,ok,31.652,2240.188,5.0,39.8,0.0
353,12.783,ok,31.652,2240.188,5.0,39.8,0.0
354,12.867,ok,31.652,2240.188,5.0,39.8,0.0
355,12.833,ok,31.652,2240.188,5.0,39.8,0.0
356,12.539,ok,31.652,2240.188,5.0,39.8,0.0
357,12.210,ok,31.652,2240.188,5.0,39.8,0.0
358,12.972,ok,31.652,2240.188,5.0,39.8,0.0
359,12.662,ok,31.652,2240.188,5.0,39.8,0.0
360,13.050,ok,31.652,2240.188,5.0,39.8,0.0
361,13.019,ok,31.652,2240.188,5.0,39.8,0.0
362,12.895,ok,31.652,2240.188,5.0,39.8,0.0
363,12.985,ok,31.652,2240.188,5.0,39.8,0.0
364,12.906,ok,31.652,2240.188,5.0,39.8,0.0
365,13.044,ok,31.652,2240.188,5.0,39.8,0.0
366,12.265,ok,31.652,2240.188,5.0,39.8,0.0
367,12.038,ok,31.656,2240.188,5.0,39.8,0.0
368,12.143,ok,31.656,2240.188,5.0,39.8,0.0
369,12.499,ok,31.656,2240.188,5.0,39.8,0.0
370,13.006,ok,31.656,2240.188,5.0,39.8,0.0
371,12.531,ok,31.656,2240.188,5.0,39.8,0.0
372,12.765,ok,31.656,2240.188,5.0,39.8,0.0
