iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
65,0.202,ok,38.098,2391.289,0.0,50.1,0.0
66,0.203,ok,38.098,2391.289,0.0,50.1,0.0
67,0.231,ok,38.098,2391.289,0.0,50.1,0.0
68,0.216,ok,38.098,2391.289,0.0,50.1,0.0
69,0.286,ok,38.098,2391.289,0.0,50.1,0.0
70,0.260,ok,38.098,2391.289,0.0,50.1,0.0
71,0.241,ok,38.098,2391.289,0.0,50.1,0.0
72,0.252,ok,38.098,2391.289,0.0,50.1,0.0
73,0.241,ok,38.098,2391.289,0.0,50.1,0.0
74,0.248,ok,38.098,2391.289,0.0,50.1,0.0
75,0.253,ok,38.098,2391.289,0.0,50.1,0.0
76,0.227,ok,38.098,2391.289,0.0,50.1,0.0
77,0.216,ok,38.098,2391.289,0.0,50.1,0.0
78,0.208,ok,38.098,2391.289,0.0,50.1,0.0
79,0.247,ok,38.098,2391.289,0.0,50.1,0.0
80,0.198,ok,38.098,2391.289,0.0,50.1,0.0
81,0.260,ok,38.098,2391.289,0.0,50.1,0.0
82,0.207,ok,38.098,2391.289,0.0,50.1,0.0
83,0.305,ok,38.098,2391.289,0.0,50.1,0.0
84,0.293,ok,38.098,2391.289,0.0,50.1,0.0
85,0.272,ok,38.098,2391.289,0.0,50.1,0.0
86,0.268,ok,38.098,2391.289,0.0,50.1,0.0
87,0.255,ok,38.098,2391.289,0.0,50.1,0.0
88,0.319,ok,38.098,2391.289,0.0,50.1,0.0
89,0.291,ok,38.098,2391.289,0.0,50.1,0.0
90,0.250,ok,38.098,2391.289,0.0,50.1,0.0
91,0.252,ok,38.098,2391.289,0.0,50.1,0.0
92,0.330,ok,38.098,2391.289,0.0,50.1,0.0
93,0.372,ok,38.098,2391.289,0.0,50.1,0.0
94,0.378,ok,38.098,2391.289,0.0,50.1,0.0
95,0.373,ok,38.098,2391.289,0.0,50.1,0.0
96,0.417,ok,38.098,2391.289,0.0,50.1,0.0
97,0.403,ok,38.098,2391.289,0.0,50.1,0.0
98,0.418,ok,38.098,2391.289,0.0,50.1,0.0
99,0.285,ok,38.098,2391.289,0.0,50.1,0.0
100,0.284,ok,38.098,2391.289,0.0,50.1,0.0
101,0.331,ok,38.098,2391.289,0.0,50.1,0.0
102,0.340,ok,38.098,2391.289,0.0,50.1,0.0
103,0.265,ok,38.098,2391.289,0.0,50.1,0.0
104,0.237,ok,38.098,2391.289,0.0,50.1,0.0
105,0.292,ok,38.098,2391.289,0.0,50.1,0.0
106,0.294,ok,38.098,2391.289,0.0,50.1,0.0
107,0.305,ok,38.098,2391.289,0.0,50.1,0.0
108,0.274,ok,38.098,2391.289,0.0,50.1,0.0
109,0.280,ok,38.098,2391.289,0.0,50.1,0.0
110,0.274,ok,38.098,2391.289,0.0,50.1,0.0
111,0.236,ok,38.098,2391.289,0.0,50.1,0.0
112,0.183,ok,38.098,2391.289,0.0,50.1,0.0
113,0.177,ok,38.098,2391.289,0.0,50.1,0.0
114,0.210,ok,38.098,2391.289,0.0,50.1,0.0
115,0.218,ok,38.098,2391.289,0.0,50.1,0.0
116,0.202,ok,38.098,2391.289,0.0,50.1,0.0
117,0.190,ok,38.098,2391.289,0.0,50.1,0.0
118,0.198,ok,38.098,2391.289,0.0,50.1,0.0
119,0.186,ok,38.098,2391.289,0.0,50.1,0.0
120,0.177,ok,38.098,2391.289,0.0,50.1,0.0
121,0.177,ok,38.098,2391.289,0.0,50.1,0.0
122,0.219,ok,38.098,2391.289,0.0,50.1,0.0
123,0.194,ok,38.098,2391.289,0.0,50.1,0.0
124,0.224,ok,38.098,2391.289,0.0,50.1,0.0
125,0.226,ok,38.098,2391.289,0.0,50.1,0.0
126,0.291,ok,38.098,2391.289,0.0,50.1,0.0
127,0.243,ok,38.098,2391.289,0.0,50.1,0.0
128,0.228,ok,38.098,2391.289,0.0,50.1,0.0
129,0.213,ok,38.098,2391.289,0.0,50.1,0.0
130,0.213,ok,38.098,2391.289,0.0,50.1,0.0
131,0.196,ok,38.098,2391.289,0.0,50.1,0.0
132,0.187,ok,38.098,2391.289,0.0,50.1,0.0
133,0.214,ok,38.098,2391.289,0.0,50.1,0.0
